Symbol	 Ensemble  Acc 	GeneID
ARHGEF39	ENSG00000137135.13	84904.0
ARHGEF4	ENSG00000136002.12	50649.0
ARHGEF40	ENSG00000165801.5	55701.0
ARHGEF5	ENSG00000050327.10	7984.0
ARHGEF7	ENSG00000102606.13	8874.0
ARHGEF7-AS1	ENSG00000227352.1	100874226.0
ARHGEF7-AS2	ENSG00000235875.3	100874238.0
ARHGEF7-IT1	ENSG00000233644.1	100874371.0
ARID1A	ENSG00000117713.13	8289.0
ARID1B	ENSG00000049618.17	57492.0
ARID2	ENSG00000189079.11	196528.0
ARID4B	ENSG00000054267.16	51742.0
ARID4B-IT1	ENSG00000232686.1	100874336.0
ARID5A	ENSG00000196843.11	10865.0
ARID5B	ENSG00000150347.10	84159.0
ARIH2OS	ENSG00000221883.2	646450.0
ARL1	ENSG00000120805.9	400.0
ARL10	ENSG00000175414.6	285598.0
ARL11	ENSG00000152213.3	115761.0
ARL14	ENSG00000179674.2	80117.0
ARL14EP	ENSG00000152219.4	120534.0
ARL14EPL	ENSG00000268223.2	644100.0
ARL15	ENSG00000185305.6	54622.0
ARL2BPP2	ENSG00000258071.1	643898.0
ARL2BPP4	ENSG00000249312.1	100130265.0
ARL2BPP5	ENSG00000254351.1	100874420.0
ARL2BPP6	ENSG00000248355.1	100874421.0
ARL2BPP7	ENSG00000230418.2	100131629.0
ARL4A	ENSG00000122644.8	10124.0
ARL4C	ENSG00000188042.5	10123.0
ARL5A	ENSG00000162980.12	26225.0
ARL5AP2	ENSG00000236818.1	641380.0
ARL5AP3	ENSG00000228431.1	106480778.0
ARL5B	ENSG00000165997.4	221079.0
ARL6	ENSG00000113966.5	84100.0
ARL6IP1P1	ENSG00000255664.1	100288702.0
