GeneSym	UniprotACC	GeneID
NR5A1	Q13285	2516
IFIT5	Q13325	24138
MTA1	Q13330	9112
PTPRS	Q13332	5802
PDE3B	Q13370	5140
NNT	Q13423	23530
ADAM9	Q13443	8754
MYO9B	Q13459	4650
SMAD4	Q13485	4089
BIRC2	Q13490	329
MTM1	Q13496	4534
SQSTM1	Q13501	8878
PIN1	Q13526	5300
RIPK1	Q13546	8737
HDAC1	Q13547	3065
CAMK2G	Q13555	818
CAMK2D	Q13557	817
NEUROD1	Q13562	4760
PKD2	Q13563	5311
TDG	Q13569	6996
ITPK1	Q13572	3705
SNW1	Q13573	22938
IQGAP2	Q13576	10788
SNX1	Q13596	6642
CUL3	Q13618	8452
DYRK1A	Q13627	1859
RAB32	Q13637	10981
ALKBH1	Q13686	8846
DDX39B	Q13838	7919
GTF2H2	Q13888	2966
GTF2H3	Q13889	2967
CACNA1C	Q13936	775
CDK13	Q14004	8621
BAAT	Q14032	570
DAG1	Q14118	1605
IKBKE	Q14164	9641
WRN	Q14191	7486
TRIM25	Q14258	7706
PTK2B	Q14289	2185
GNA13	Q14344	10672
GAS6	Q14393	2621
HES1	Q14469	3280
SCN5A	Q14524	6331
DMC1	Q14565	11144
ITPR3	Q14573	3710
ITPR1	Q14643	3708
KCNJ11	Q14654	3767
NCOA6	Q14686	23054
CASP8	Q14790	841
MEF2D	Q14814	4209
GRM7	Q14831	2917
CHD4	Q14839	1108
ARID5B	Q14865	84159
MTF1	Q14872	4520
CRYM	Q14894	1428
MYBPC3	Q14896	4607
GPNMB	Q14956	10457
NUMA1	Q14980	4926
SART3	Q15020	9733
EIF4H	Q15056	7458
KIF14	Q15058	9928
CDK5R1	Q15078	8851
STK38	Q15208	11329
PTPA	Q15257	5524
ERBB4	Q15303	2066
RALBP1	Q15311	10928
ZMYND11	Q15326	10771
ANKRD1	Q15327	27063
NR6A1	Q15406	2649
SIX1	Q15475	6495
TAF7	Q15545	6879
TERF2	Q15554	7014
TEAD2	Q15562	8463
NCOA2	Q15596	10499
TARBP2	Q15633	6895
OASL	Q15646	8638
MED1	Q15648	5469
TRIP4	Q15650	9325
ELAVL1	Q15717	1994
NCOA1	Q15788	8648
SMAD2	Q15796	4087
SMAD1	Q15797	4086
USF2	Q15853	7392
RAB11B	Q15907	9230
EZH2	Q15910	2146
ETFDH	Q16134	2110
NFE2L2	Q16236	4780
EXT1	Q16394	2131
PKN1	Q16512	5585
PKN2	Q16513	5586
TAF12	Q16514	6883
