A1BG	A1BG
 KDM3C	JMJD1C
JMJD1C-AS1	JMJD1C-AS1
JMJD4	JMJD4
FLJ12517	JMJD4
JMJD6	JMJD6
PTDSR	JMJD6
PTDSR1	JMJD6
 KIAA0585	JMJD6
JMJD7	JMJD7
JMJD7-PLA2G4B	JMJD7-PLA2G4B
JMJD8	JMJD8
C16orf20	JMJD8
JMY	JMY
FLJ37870	JMY
 WHAMM2	JMY
JOSD1	JOSD1
KIAA0063	JOSD1
JOSD2	JOSD2
SBBI54	JOSD2
JPD	JPD
JPH1	JPH1
JP-1	JPH1
JPH2	JPH2
JP-2	JPH2
JPH3	JPH3
TNRC22	JPH3
JP-3	JPH3
 CAGL237	JPH3
 HDL2	JPH3
 JP3	JPH3
JPH4	JPH4
JPHL1	JPH4
KIAA1831	JPH4
JPT1	JPT1
HN1	JPT1
ARM2	JPT1
 HN1A	JPT1
JPT2	JPT2
C16orf34	JPT2
 HN1L	JPT2
FLJ13092	JPT2
 L11	JPT2
 KIAA1426	JPT2
JPX	JPX
NCRNA00183	JPX
ENOX	JPX
 LINC00183	JPX
 DCBALD06	JPX
JRK	JRK
JH8	JRK
 jerky	JRK
JRKL	JRKL
HHMJG	JRKL
JRKL-AS1	JRKL-AS1
JSRP1	JSRP1
JP-45	JSRP1
 FLJ32416	JSRP1
JTB	JTB
hJT	JTB
 PAR	JTB
JTBP1	JTBP1
JUN	JUN
c-Jun	JUN
JUNB	JUNB
JUND	JUND
AP-1	JUND
JUP	JUP
CTNNG	JUP
DP3	JUP
 PDGB	JUP
 PKGB	JUP
 DPIII	JUP
KAAG1	KAAG1
 RU2AS	KAAG1
KALRN	KALRN
HAPIP	KALRN
duo	KALRN
 Hs.8004	KALRN
 TRAD	KALRN
 DUET	KALRN
 Kalirin	KALRN
 ARHGEF24	KALRN
KANK1	KANK1
ANKRD15	KANK1
KIAA0172	KANK1
 KANK	KANK1
KANK1P1	KANK1P1
KANK2	KANK2
MXRA3	KANK2
 ANKRD25	KANK2
KIAA1518	KANK2
KANK3	KANK3
ANKRD47	KANK3
FLJ46061	KANK3
KANK4	KANK4
ANKRD38	KANK4
KANSL1	KANSL1
KIAA1267	KANSL1
DKFZP727C091	KANSL1
 MSL1v1	KANSL1
 CENP-36	KANSL1
 NSL1	KANSL1
KANSL1-AS1	KANSL1-AS1
KANSL1L	KANSL1L
C2orf67	KANSL1L
FLJ23861	KANSL1L
 FLJ32349	KANSL1L
 MSL1v2	KANSL1L
 KIAA1267L	KANSL1L
KANSL2	KANSL2
C12orf41	KANSL2
FLJ20436	KANSL2
 NSL2	KANSL2
KANSL3	KANSL3
KIAA1310	KANSL3
FLJ10081	KANSL3
 Rcd1	KANSL3
 NSL3	KANSL3
KANTR	KANTR
LINC01155	KANTR
Spasm	KANTR
KARS	KARS
DFNB89	KARS
KARS2	KARS
 KARS1	KARS
KARSP1	KARSP1
KARSP2	KARSP2
KARSP3	KARSP3
KAT2A	KAT2A
GCN5L2	KAT2A
GCN5	KAT2A
 PCAF-b	KAT2A
KAT2B	KAT2B
PCAF	KAT2B
P/CAF	KAT2B
 GCN5	KAT2B
 GCN5L	KAT2B
KAT5	KAT5
HTATIP	KAT5
TIP60	KAT5
 PLIP	KAT5
 cPLA2	KAT5
 HTATIP1	KAT5
 ZC2HC5	KAT5
KAT6A	KAT6A
ZNF220	KAT6A
 RUNXBP2	KAT6A
 MYST3	KAT6A
MOZ	KAT6A
 ZC2HC6A	KAT6A
KAT6B	KAT6B
MYST4	KAT6B
querkopf	KAT6B
 qkf	KAT6B
 Morf	KAT6B
 MOZ2	KAT6B
 ZC2HC6B	KAT6B
KAT7	KAT7
MYST2	KAT7
HBOA	KAT7
 HBO1	KAT7
 ZC2HC7	KAT7
KAT8	KAT8
MYST1	KAT8
MOF	KAT8
 FLJ14040	KAT8
 hMOF	KAT8
 ZC2HC8	KAT8
KAT14	KAT14
CSRP2BP	KAT14
CRP2BP	KAT14
 dJ717M23.1	KAT14
 PRO1194	KAT14
 ATAC2	KAT14
KATNA1	KATNA1
KATNAL1	KATNAL1
MGC2599	KATNAL1
KATNAL2	KATNAL2
MGC33211	KATNAL2
 DKFZP667C165	KATNAL2
KATNB1	KATNB1
KATNBL1	KATNBL1
C15orf29	KATNBL1
FLJ22557	KATNBL1
KATNBL1P1	KATNBL1P1
KATNBL1P2	KATNBL1P2
KATNBL1P3	KATNBL1P3
KATNBL1P4	KATNBL1P4
KATNBL1P5	KATNBL1P5
KATNBL1P6	KATNBL1P6
KAZALD1	KAZALD1
FKSG40	KAZALD1
 FKSG28	KAZALD1
KAZN	KAZN
KIAA1026	KAZN
 KAZRIN	KAZN
 FLJ43806	KAZN
KAZN-AS1	KAZN-AS1
ENST00000447908	KAZN-AS1
KBTBD2	KBTBD2
BKLHD1	KBTBD2
DKFZP566C134	KBTBD2
KBTBD3	KBTBD3
BKLHD3	KBTBD3
KBTBD4	KBTBD4
BKLHD4	KBTBD4
FLJ10450	KBTBD4
 HSPC252	KBTBD4
KBTBD6	KBTBD6
DKFZp547E1912	KBTBD6
KBTBD7	KBTBD7
DKFZP434E2318	KBTBD7
KBTBD8	KBTBD8
TA-KRP	KBTBD8
 KIAA1842	KBTBD8
KBTBD11	KBTBD11
KIAA0711	KBTBD11
 KLHDC7C	KBTBD11
KBTBD11-OT1	KBTBD11-OT1
KBTBD12	KBTBD12
KLHDC6	KBTBD12
FLJ46299	KBTBD12
KBTBD13	KBTBD13
hCG_1645727	KBTBD13
 NEM6	KBTBD13
KCMF1	KCMF1
DEBT91	KCMF1
 PCMF	KCMF1
 DKFZP434L1021	KCMF1
 ZZZ1	KCMF1
KCNA1	KCNA1
AEMK	KCNA1
Kv1.1	KCNA1
 RBK1	KCNA1
 HUK1	KCNA1
 MBK1	KCNA1
KCNA2	KCNA2
Kv1.2	KCNA2
 HK4	KCNA2
KCNA3	KCNA3
Kv1.3	KCNA3
 MK3	KCNA3
 HLK3	KCNA3
 HPCN3	KCNA3
KCNA4	KCNA4
KCNA4L	KCNA4
Kv1.4	KCNA4
 HK1	KCNA4
 HPCN2	KCNA4
KCNA5	KCNA5
Kv1.5	KCNA5
 HK2	KCNA5
 HPCN1	KCNA5
KCNA6	KCNA6
Kv1.6	KCNA6
 HBK2	KCNA6
 PPP1R96	KCNA6
KCNA7	KCNA7
Kv1.7	KCNA7
 HAK6	KCNA7
KCNA10	KCNA10
Kv1.8	KCNA10
KCNAB1	KCNAB1
AKR6A3	KCNAB1
 KCNA1B	KCNAB1
 hKvBeta3	KCNAB1
 Kvb1.3	KCNAB1
 hKvb3	KCNAB1
KCNAB1-AS1	KCNAB1-AS1
KCNAB1-AS2	KCNAB1-AS2
KCNAB2	KCNAB2
AKR6A5	KCNAB2
 KCNA2B	KCNAB2
 HKvbeta2.1	KCNAB2
 HKvbeta2.2	KCNAB2
KCNAB3	KCNAB3
AKR6A9	KCNAB3
 KCNA3B	KCNAB3
KCNB1	KCNB1
Kv2.1	KCNB1
KCNB2	KCNB2
Kv2.2	KCNB2
KCNC1	KCNC1
Kv3.1	KCNC1
KCNC2	KCNC2
Kv3.2	KCNC2
KCNC3	KCNC3
SCA13	KCNC3
Kv3.3	KCNC3
KCNC4	KCNC4
C1orf30	KCNC4
Kv3.4	KCNC4
 HKSHIIIC	KCNC4
KCNC4-AS1	KCNC4-AS1
KCND1	KCND1
Kv4.1	KCND1
KCND2	KCND2
Kv4.2	KCND2
 RK5	KCND2
 KIAA1044	KCND2
KCND3	KCND3
SCA22	KCND3
 SCA19	KCND3
Kv4.3	KCND3
 KSHIVB	KCND3
KCND3-AS1	KCND3-AS1
KCND3-IT1	KCND3-IT1
KCNE1	KCNE1
minK	KCNE1
 ISK	KCNE1
 JLNS2	KCNE1
 LQT5	KCNE1
KCNE1B	KCNE1B
KCNE2	KCNE2
MiRP1	KCNE2
 LQT6	KCNE2
KCNE3	KCNE3
MiRP2	KCNE3
 HOKPP	KCNE3
KCNE4	KCNE4
MiRP3	KCNE4
KCNE5	KCNE5
KCNE1L	KCNE5
KCNF1	KCNF1
KCNF	KCNF1
Kv5.1	KCNF1
 kH1	KCNF1
 IK8	KCNF1
KCNG1	KCNG1
KCNG	KCNG1
Kv6.1	KCNG1
 kH2	KCNG1
 K13	KCNG1
KCNG2	KCNG2
Kv6.2	KCNG2
 KCNF2	KCNG2
KCNG3	KCNG3
Kv6.3	KCNG3
KCNG4	KCNG4
Kv6.4	KCNG4
KCNH1	KCNH1
Kv10.1	KCNH1
 eag	KCNH1
 h-eag	KCNH1
 eag1	KCNH1
KCNH1-IT1	KCNH1-IT1
KCNH2	KCNH2
LQT2	KCNH2
Kv11.1	KCNH2
 HERG	KCNH2
 erg1	KCNH2
KCNH3	KCNH3
Kv12.2	KCNH3
 elk2	KCNH3
KCNH4	KCNH4
Kv12.3	KCNH4
 elk1	KCNH4
KCNH5	KCNH5
Kv10.2	KCNH5
 H-EAG2	KCNH5
 eag2	KCNH5
KCNH6	KCNH6
Kv11.2	KCNH6
 erg2	KCNH6
 HERG2	KCNH6
KCNH7	KCNH7
Kv11.3	KCNH7
 HERG3	KCNH7
 erg3	KCNH7
KCNH8	KCNH8
Kv12.1	KCNH8
 elk3	KCNH8
KCNIP1	KCNIP1
KCHIP1	KCNIP1
KCNIP2	KCNIP2
KCHIP2	KCNIP2
KCNIP2-AS1	KCNIP2-AS1
KCNIP3	KCNIP3
CSEN	KCNIP3
DREAM	KCNIP3
 KCHIP3	KCNIP3
KCNIP4	KCNIP4
CALP	KCNIP4
 KCHIP4	KCNIP4
 MGC44947	KCNIP4
KCNIP4-IT1	KCNIP4-IT1
NCRNA00099	KCNIP4-IT1
UM9-5	KCNIP4-IT1
KCNJ1	KCNJ1
Kir1.1	KCNJ1
 ROMK1	KCNJ1
KCNJ2	KCNJ2
Kir2.1	KCNJ2
 IRK1	KCNJ2
 LQT7	KCNJ2
KCNJ2-AS1	KCNJ2-AS1
FLJ36644	KCNJ2-AS1
KCNJ3	KCNJ3
Kir3.1	KCNJ3
 GIRK1	KCNJ3
 KGA	KCNJ3
KCNJ4	KCNJ4
Kir2.3	KCNJ4
 HIR	KCNJ4
 HRK1	KCNJ4
 hIRK2	KCNJ4
 IRK3	KCNJ4
KCNJ5	KCNJ5
Kir3.4	KCNJ5
 CIR	KCNJ5
 KATP1	KCNJ5
 GIRK4	KCNJ5
 LQT13	KCNJ5
KCNJ6	KCNJ6
KCNJ7	KCNJ6
Kir3.2	KCNJ6
 GIRK2	KCNJ6
 KATP2	KCNJ6
 BIR1	KCNJ6
 hiGIRK2	KCNJ6
KCNJ6-AS1	KCNJ6-AS1
KCNJ6-IT1	KCNJ6-AS1
KCNJ8	KCNJ8
Kir6.1	KCNJ8
KCNJ9	KCNJ9
Kir3.3	KCNJ9
 GIRK3	KCNJ9
KCNJ10	KCNJ10
Kir4.1	KCNJ10
 Kir1.2	KCNJ10
KCNJ11	KCNJ11
Kir6.2	KCNJ11
 BIR	KCNJ11
KCNJ12	KCNJ12
KCNJN1	KCNJ12
Kir2.2	KCNJ12
 Kir2.2v	KCNJ12
 IRK2	KCNJ12
 hIRK1	KCNJ12
KCNJ13	KCNJ13
Kir7.1	KCNJ13
 Kir1.4	KCNJ13
 LCA16	KCNJ13
KCNJ14	KCNJ14
Kir2.4	KCNJ14
 IRK4	KCNJ14
KCNJ15	KCNJ15
Kir4.2	KCNJ15
 Kir1.3	KCNJ15
 IRKK	KCNJ15
KCNJ16	KCNJ16
Kir5.1	KCNJ16
 BIR9	KCNJ16
KCNJ18	KCNJ18
KIR2.6	KCNJ18
 TTPP2	KCNJ18
KCNK1	KCNK1
K2p1.1	KCNK1
 DPK	KCNK1
 TWIK-1	KCNK1
KCNK2	KCNK2
K2p2.1	KCNK2
 TREK-1	KCNK2
KCNK3	KCNK3
K2p3.1	KCNK3
 TASK	KCNK3
 TASK-1	KCNK3
KCNK4	KCNK4
K2p4.1	KCNK4
 TRAAK	KCNK4
KCNK5	KCNK5
K2p5.1	KCNK5
 TASK-2	KCNK5
KCNK6	KCNK6
K2p6.1	KCNK6
 TWIK-2	KCNK6
KCNK7	KCNK7
K2p7.1	KCNK7
KCNK9	KCNK9
K2p9.1	KCNK9
 TASK3	KCNK9
 TASK-3	KCNK9
KCNK10	KCNK10
K2p10.1	KCNK10
 TREK-2	KCNK10
 TREK2	KCNK10
 PPP1R97	KCNK10
KCNK12	KCNK12
THIK-2	KCNK12
 THIK2	KCNK12
 K2p12.1	KCNK12
KCNK13	KCNK13
K2p13.1	KCNK13
 THIK-1	KCNK13
 THIK1	KCNK13
KCNK15	KCNK15
KCNK11	KCNK15
 KCNK14	KCNK15
K2p15.1	KCNK15
 dJ781B1.1	KCNK15
 KT3.3	KCNK15
 KIAA0237	KCNK15
 TASK5	KCNK15
 TASK-5	KCNK15
KCNK15-AS1	KCNK15-AS1
RP11-445H22.4	KCNK15-AS1
KCNK16	KCNK16
K2p16.1	KCNK16
 TALK-1	KCNK16
 TALK1	KCNK16
KCNK17	KCNK17
K2p17.1	KCNK17
 TALK-2	KCNK17
 TALK2	KCNK17
 TASK4	KCNK17
 TASK-4	KCNK17
KCNK18	KCNK18
K2p18.1	KCNK18
 TRESK-2	KCNK18
 TRESK2	KCNK18
 TRESK	KCNK18
 TRIK	KCNK18
KCNMA1	KCNMA1
SLO	KCNMA1
KCa1.1	KCNMA1
 mSLO1	KCNMA1
KCNMA1-AS1	KCNMA1-AS1
KCNMA1-AS2	KCNMA1-AS2
KCNMA1-AS3	KCNMA1-AS3
KCNMB1	KCNMB1
hslo-beta	KCNMB1
KCNMB2	KCNMB2
KCNMB2-AS1	KCNMB2-AS1
RP11-385J1.2	KCNMB2-AS1
KCNMB3	KCNMB3
 KCNMBL	KCNMB3
KCNMB3P1	KCNMB3P1
KCNMB2L	KCNMB3P1
 KCNMBLP	KCNMB3P1
 KCNMB3L	KCNMB3P1
KCNMB3L1	KCNMB3P1
KCNMB4	KCNMB4
KCNN1	KCNN1
KCa2.1	KCNN1
 hSK1	KCNN1
KCNN2	KCNN2
KCa2.2	KCNN2
 hSK2	KCNN2
KCNN3	KCNN3
KCa2.3	KCNN3
 hSK3	KCNN3
 SKCA3	KCNN3
KCNN4	KCNN4
KCa3.1	KCNN4
 hSK4	KCNN4
 hKCa4	KCNN4
 hIKCa1	KCNN4
 IK	KCNN4
KCNQ1	KCNQ1
LQT	KCNQ1
 KCNA9	KCNQ1
Kv7.1	KCNQ1
 KCNA8	KCNQ1
 KVLQT1	KCNQ1
 JLNS1	KCNQ1
 LQT1	KCNQ1
KCNQ1-AS1	KCNQ1-AS1
KCNQ1DN	KCNQ1DN
BWRT	KCNQ1DN
 HSA404617	KCNQ1DN
KCNQ1OT1	KCNQ1OT1
KvDMR1	KCNQ1OT1
 KCNQ1-AS2	KCNQ1OT1
 KvLQT1-AS	KCNQ1OT1
 LIT1	KCNQ1OT1
 NCRNA00012	KCNQ1OT1
KCNQ2	KCNQ2
Kv7.2	KCNQ2
 ENB1	KCNQ2
 BFNC	KCNQ2
 KCNA11	KCNQ2
 HNSPC	KCNQ2
KCNQ3	KCNQ3
EBN2	KCNQ3
Kv7.3	KCNQ3
KCNQ4	KCNQ4
Kv7.4	KCNQ4
KCNQ5	KCNQ5
Kv7.5	KCNQ5
KCNQ5-AS1	KCNQ5-AS1
KCNQ5-IT1	KCNQ5-IT1
KCNRG	KCNRG
KCNS1	KCNS1
Kv9.1	KCNS1
KCNS2	KCNS2
Kv9.2	KCNS2
KCNS3	KCNS3
Kv9.3	KCNS3
KCNT1	KCNT1
KCa4.1	KCNT1
 KIAA1422	KCNT1
 SLACK	KCNT1
 Slo2.2	KCNT1
KCNT2	KCNT2
KCa4.2	KCNT2
 SLICK	KCNT2
 SLO2.1	KCNT2
KCNU1	KCNU1
KCa5.1	KCNU1
 Slo3	KCNU1
 KCNMC1	KCNU1
 Kcnma3	KCNU1
KCNV1	KCNV1
Kv8.1	KCNV1
KCNV2	KCNV2
Kv8.2	KCNV2
KCP	KCP
CRIM2	KCP
FLJ33365	KCP
 NET67	KCP
KCTD1	KCTD1
C18orf5	KCTD1
KCTD2	KCTD2
KIAA0176	KCTD2
KCTD3	KCTD3
NY-REN-45	KCTD3
KCTD4	KCTD4
bA321C24.3	KCTD4
KCTD5	KCTD5
FLJ20040	KCTD5
KCTD6	KCTD6
MGC27385	KCTD6
 KCASH3	KCTD6
KCTD7	KCTD7
FLJ32069	KCTD7
 EPM3	KCTD7
 CLN14	KCTD7
KCTD8	KCTD8
KCTD9	KCTD9
FLJ20038	KCTD9
 BTBD27	KCTD9
KCTD9P1	KCTD9P1
HsT38306	KCTD9P1
KCTD9P2	KCTD9P2
KCTD9L	KCTD9P2
KCTD9P3	KCTD9P3
KCTD9P4	KCTD9P4
KCTD9P5	KCTD9P5
KCTD9P6	KCTD9P6
KCTD10	KCTD10
MSTP028	KCTD10
 BTBD28	KCTD10
KCTD10P1	KCTD10P1
KCTD11	KCTD11
C17orf36	KCTD11
REN	KCTD11
 KCASH1	KCTD11
KCTD12	KCTD12
C13orf2	KCTD12
KIAA1778	KCTD12
 PFET1	KCTD12
KCTD13	KCTD13
 FKSG86	KCTD13
 POLDIP1	KCTD13
KCTD14	KCTD14
MGC2376	KCTD14
KCTD15	KCTD15
MGC25497	KCTD15
KCTD16	KCTD16
KIAA1317	KCTD16
KCTD17	KCTD17
FLJ12242	KCTD17
KCTD18	KCTD18
FLJ31322	KCTD18
 6530404F10Rik	KCTD18
 FLJ37818	KCTD18
KCTD19	KCTD19
FLJ40162	KCTD19
KCTD20	KCTD20
C6orf69	KCTD20
dJ108K11.3	KCTD20
 MGC14254	KCTD20
KCTD21	KCTD21
KCASH2	KCTD21
KCTD21-AS1	KCTD21-AS1
KDELC1	KDELC1
MGC5302	KDELC1
 EP58	KDELC1
KDELC1P1	KDELC1P1
KDELC2	KDELC2
MGC33424	KDELC2
KDELR1	KDELR1
ERD2.1	KDELR1
 ERD2	KDELR1
 HDEL	KDELR1
KDELR2	KDELR2
ELP-1	KDELR2
 ERD2.2	KDELR2
KDELR3	KDELR3
KDF1	KDF1
C1orf172	KDF1
FLJ34633	KDF1
 RP11-344H11.3	KDF1
KDM1A	KDM1A
AOF2	KDM1A
 KDM1	KDM1A
KIAA0601	KDM1A
 BHC110	KDM1A
 LSD1	KDM1A
KDM1B	KDM1B
C6orf193	KDM1B
 AOF1	KDM1B
FLJ34109	KDM1B
 FLJ33898	KDM1B
 dJ298J15.2	KDM1B
 bA204B7.3	KDM1B
 FLJ43328	KDM1B
 LSD2	KDM1B
KDM2A	KDM2A
FBXL11	KDM2A
KIAA1004	KDM2A
 FBL11	KDM2A
 LILINA	KDM2A
 DKFZP434M1735	KDM2A
 FLJ00115	KDM2A
 CXXC8	KDM2A
 JHDM1A	KDM2A
KDM2B	KDM2B
FBXL10	KDM2B
PCCX2	KDM2B
 CXXC2	KDM2B
 Fbl10	KDM2B
 JHDM1B	KDM2B
KDM3A	KDM3A
JMJD1	KDM3A
 JMJD1A	KDM3A
TSGA	KDM3A
 KIAA0742	KDM3A
 JHMD2A	KDM3A
KDM3B	KDM3B
C5orf7	KDM3B
 JMJD1B	KDM3B
KIAA1082	KDM3B
 NET22	KDM3B
KDM4A	KDM4A
JMJD2	KDM4A
 JMJD2A	KDM4A
KIAA0677	KDM4A
 JHDM3A	KDM4A
 TDRD14A	KDM4A
KDM4A-AS1	KDM4A-AS1
KDM4B	KDM4B
JMJD2B	KDM4B
KIAA0876	KDM4B
 TDRD14B	KDM4B
KDM4C	KDM4C
JMJD2C	KDM4C
GASC1	KDM4C
 KIAA0780	KDM4C
 TDRD14C	KDM4C
KDM4D	KDM4D
JMJD2D	KDM4D
FLJ10251	KDM4D
KDM4E	KDM4E
KDM4DL	KDM4E
JMJD2E	KDM4E
 KDM5E	KDM4E
KDM4F	KDM4F
JMJD2F	KDM4F
KDM5A	KDM5A
RBBP2	KDM5A
 JARID1A	KDM5A
KDM5B	KDM5B
JARID1B	KDM5B
RBBP2H1A	KDM5B
 PLU-1	KDM5B
 CT31	KDM5B
 PPP1R98	KDM5B
KDM5C	KDM5C
SMCX	KDM5C
 JARID1C	KDM5C
 MRX13	KDM5C
DXS1272E	KDM5C
 XE169	KDM5C
KDM5C-IT1	KDM5C-IT1
KDM5D	KDM5D
HYA	KDM5D
 HY	KDM5D
 SMCY	KDM5D
 JARID1D	KDM5D
KIAA0234	KDM5D
KDM5DP1	KDM5DP1
SMCYP	KDM5DP1
KDM6A	KDM6A
UTX	KDM6A
KDM6B	KDM6B
JMJD3	KDM6B
KIAA0346	KDM6B
KDM7A	KDM7A
JHDM1D	KDM7A
KIAA1718	KDM7A
KDM8	KDM8
JMJD5	KDM8
FLJ13798	KDM8
KDR	KDR
FLK1	KDR
 VEGFR	KDR
 VEGFR2	KDR
 CD309	KDR
KDSR	KDSR
FVT1	KDSR
DHSR	KDSR
 SDR35C1	KDSR
KEAP1	KEAP1
KIAA0132	KEAP1
 MGC10630	KEAP1
 MGC1114	KEAP1
 MGC20887	KEAP1
 MGC4407	KEAP1
 MGC9454	KEAP1
 INrf2	KEAP1
 KLHL19	KEAP1
KEL	KEL
ECE3	KEL
 CD238	KEL
KERA	KERA
CNA2	KERA
SLRR2B	KERA
KFM	KFM
KFS	KFM
KHDC1	KHDC1
C6orf148	KHDC1
 C6orf147	KHDC1
MGC10818	KHDC1
 bA257K9.4	KHDC1
 NDG1	KHDC1
 Em:AC019205.8	KHDC1
KHDC1L	KHDC1L
RP11-257K9.7	KHDC1L
KHDC1P1	KHDC1P1
KHDC3L	KHDC3L
C6orf221	KHDC3L
ECAT1	KHDC3L
KHDRBS1	KHDRBS1
Sam68	KHDRBS1
 p62	KHDRBS1
 FLJ34027	KHDRBS1
KHDRBS2	KHDRBS2
SLM1	KHDRBS2
 SLM-1	KHDRBS2
 MGC26664	KHDRBS2
KHDRBS3	KHDRBS3
T-STAR	KHDRBS3
 Etle	KHDRBS3
 etoile	KHDRBS3
 SALP	KHDRBS3
 SLM2	KHDRBS3
 SLM-2	KHDRBS3
KHK	KHK
KHNYN	KHNYN
KIAA0323	KHNYN
KHSRP	KHSRP
KSRP	KHSRP
 FBP2	KHSRP
 FUBP2	KHSRP
KHSRPP1	KHSRPP1
KIAA0040	KIAA0040
KIAA0087	KIAA0087
KIAA0100	KIAA0100
DKFZp686M0843	KIAA0100
 MGC111488	KIAA0100
 BCOX1	KIAA0100
 CT101	KIAA0100
 BCOX	KIAA0100
 FMP27	KIAA0100
KIAA0141	KIAA0141
DELE	KIAA0141
KIAA0232	KIAA0232
KIAA0319	KIAA0319
NMIG	KIAA0319
KIAA0319L	KIAA0319L
KIAA1837	KIAA0319L
 AAVR	KIAA0319L
KIAA0355	KIAA0355
KIAA0368	KIAA0368
FLJ22036	KIAA0368
 ECM29	KIAA0368
KIAA0391	KIAA0391
MRPP3	KIAA0391
 PRORP	KIAA0391
KIAA0408	KIAA0408
KIAA0513	KIAA0513
KIAA0556	KIAA0556
JBTS26	KIAA0556
 KATNIP	KIAA0556
KIAA0586	KIAA0586
Talpid3	KIAA0586
 JBTS23	KIAA0586
KIAA0753	KIAA0753
OFIP	KIAA0753
 MNR	KIAA0753
KIAA0754	KIAA0754
KIAA0825	KIAA0825
C5orf36	KIAA0825
DKFZp686F0372	KIAA0825
 MGC34713	KIAA0825
KIAA0895	KIAA0895
KIAA0895L	KIAA0895L
LOC653319	KIAA0895L
KIAA0907	KIAA0907
BLOM7	KIAA0907
 SNORA80EHG	KIAA0907
KIAA0930	KIAA0930
C22orf9	KIAA0930
bK268H5.C22.1	KIAA0930
KIAA1024	KIAA1024
KIAA1024L	KIAA1024L
KIAA1107	KIAA1107
KIAA1109	KIAA1109
FLJ21404	KIAA1109
 FSA	KIAA1109
 KIAA1371	KIAA1109
 Tweek	KIAA1109
KIAA1143	KIAA1143
KIAA1147	KIAA1147
LCHN	KIAA1147
KIAA1161	KIAA1161
NET37	KIAA1161
KIAA1191	KIAA1191
FLJ21022	KIAA1191
 p33MONOX	KIAA1191
 p60MONOX	KIAA1191
KIAA1210	KIAA1210
KIAA1211	KIAA1211
KIAA1211L	KIAA1211L
C2orf55	KIAA1211L
MGC42367	KIAA1211L
KIAA1217	KIAA1217
DKFZP761L0424	KIAA1217
 SKT	KIAA1217
 ETL4	KIAA1217
KIAA1257	KIAA1257
KIAA1324	KIAA1324
maba1	KIAA1324
 EIG121	KIAA1324
KIAA1324L	KIAA1324L
FLJ31340	KIAA1324L
 EIG121L	KIAA1324L
KIAA1328	KIAA1328
KIAA1456	KIAA1456
C8orf79	KIAA1456
FLJ36980	KIAA1456
 TRM9L	KIAA1456
KIAA1468	KIAA1468
HsT885	KIAA1468
 HsT3308	KIAA1468
 FLJ33841	KIAA1468
KIAA1522	KIAA1522
KIAA1549	KIAA1549
KIAA1549L	KIAA1549L
C11orf69	KIAA1549L
 C11orf41	KIAA1549L
 MGC34830	KIAA1549L
KIAA1551	KIAA1551
C12orf35	KIAA1551
FLJ20696	KIAA1551
 FLJ10652	KIAA1551
 UTA2-1	KIAA1551
KIAA1586	KIAA1586
KIAA1614	KIAA1614
KIAA1614-AS1	KIAA1614-AS1
RP11-46A10.4	KIAA1614-AS1
KIAA1644	KIAA1644
KIAA1671	KIAA1671
KIAA1683	KIAA1683
KIAA1755	KIAA1755
RP5-1054A22.3	KIAA1755
KIAA1841	KIAA1841
KIAA1958	KIAA1958
FLJ39294	KIAA1958
KIAA2012	KIAA2012
KIAA2013	KIAA2013
MGC33867	KIAA2013
 RP5-1077B9.1	KIAA2013
KIAA2026	KIAA2026
KIDINS220	KIDINS220
ARMS	KIDINS220
KIF1A	KIF1A
ATSV	KIF1A
 C2orf20	KIF1A
 SPG30	KIF1A
UNC104	KIF1A
KIF1B	KIF1B
CMT2A	KIF1B
 CMT2	KIF1B
KIAA0591	KIF1B
 KLP	KIF1B
 HMSNII	KIF1B
KIF1BP	KIF1BP
KIAA1279	KIF1BP
DKFZP586B0923	KIF1BP
 TTC20	KIF1BP
 KBP	KIF1BP
KIF1C	KIF1C
SAX2	KIF1C
SPAX2	KIF1C
 SPG58	KIF1C
KIF2A	KIF2A
KIF2	KIF2A
KIF2B	KIF2B
KIF2C	KIF2C
KNSL6	KIF2C
MCAK	KIF2C
 CT139	KIF2C
KIF3A	KIF3A
FLA10	KIF3A
 KLP-20	KIF3A
KIF3AP1	KIF3AP1
KIF3B	KIF3B
KIAA0359	KIF3B
 FLA8	KIF3B
 KLP-11	KIF3B
KIF3C	KIF3C
KIF4A	KIF4A
KIF4-G1	KIF4A
 KIF4	KIF4A
 HSA271784	KIF4A
 FLJ12530	KIF4A
 FLJ12655	KIF4A
 FLJ14204	KIF4A
 FLJ20631	KIF4A
 MRX100	KIF4A
KIF4B	KIF4B
KIF4CP	KIF4CP
KIF4P1	KIF4CP
KIF5A	KIF5A
SPG10	KIF5A
D12S1889	KIF5A
 NKHC	KIF5A
 MY050	KIF5A
KIF5B	KIF5B
KNS1	KIF5B
KNS	KIF5B
KIF5C	KIF5C
KIF6	KIF6
C6orf102	KIF6
dJ1043E3.1	KIF6
 MGC33317	KIF6
 dJ137F1.4	KIF6
 dJ188D3.1	KIF6
 DKFZp451I2418	KIF6
KIF7	KIF7
JBTS12	KIF7
KIF9	KIF9
MGC104186	KIF9
KIF9-AS1	KIF9-AS1
FLJ39534	KIF9-AS1
KIF11	KIF11
KNSL1	KIF11
Eg5	KIF11
 HKSP	KIF11
 TRIP5	KIF11
KIF12	KIF12
KIF13A	KIF13A
bA500C11.2	KIF13A
KIF13B	KIF13B
GAKIN	KIF13B
 KIAA0639	KIF13B
KIF14	KIF14
KIAA0042	KIF14
KIF15	KIF15
