structure_id,slab_num,well_id,slab_type,structure_acronym,structure_name,polygon_id,mri_voxel_x,mri_voxel_y,mri_voxel_z,mni_x,mni_y,mni_z
4637,8,127687839,CX,"VMH","ventromedial hypothalamic nucleus, left",113556745,100,113,98,-9.0,-7.0,-4.0
4573,8,127687997,CX,"PVH","paraventricular nucleus of the hypothalamus, left",113556765,100,105,98,-9.0,-7.0,4.0
4400,8,127687933,CX,"DTM","medial group of nuclei, left",1408601,95,95,98,-4.0,-7.0,14.0
4395,8,127687917,CX,"DTA","anterior group of nuclei, left",1408597,98,90,97,-7.0,-6.0,19.0
4322,8,127687901,CX,"Cl","claustrum, left",111316935,128,107,97,-37.0,-6.0,2.0
4301,8,127687885,CX,"SptN","septal nuclei, left",112363513,95,92,97,-4.0,-6.0,17.0
4254,12,127687837,CX,"CA1","CA1 field, left",112495161,114,101,138,-23.0,-47.0,8.0
4251,12,127687821,CX,"S","subiculum, left",113462593,111,101,138,-20.0,-47.0,8.0
4322,9,127687570,CX,"Cl","claustrum, left",1407745,127,108,109,-36.0,-18.0,1.0
4329,8,127687995,CX,"ATZ","amygdalohippocampal transition zone, left",112723791,110,122,98,-19.0,-7.0,-13.0
4360,8,127687979,CX,"CeA","central nucleus, left",1396107,118,117,98,-27.0,-7.0,-8.0
4379,8,127687947,CX,"LA","lateral nucleus, left",1396096,116,131,98,-25.0,-7.0,-22.0
4367,8,127687931,CX,"COMA","cortico-medial group, left",1396126,113,117,98,-22.0,-7.0,-8.0
4351,8,127687915,CX,"BMA","basomedial nucleus, left",1396099,115,121,98,-24.0,-7.0,-12.0
4342,8,127687899,CX,"BLA","basolateral nucleus, left",1396097,116,125,98,-25.0,-7.0,-16.0
4322,8,127687883,CX,"Cl","claustrum, left",1396101,128,119,98,-37.0,-7.0,-10.0
4308,8,127687867,CX,"nbM","basal nucleus of meynert, left",1396100,119,114,98,-28.0,-7.0,-5.0
4313,7,127687554,CX,"BST","bed  nucleus of stria terminalis, left",1407198,97,99,88,-6.0,3.0,10.0
4291,6,127687819,CX,"Acb","nucleus accumbens, left",1396187,101,115,77,-10.0,14.0,-6.0
4098,12,126435025,CX,"SPL-s","superior parietal lobule, left, superior bank of gyrus",112191396,112,35,138,-21.0,-47.0,74.0
4238,12,126435089,CX,"CgGr-i","cingulate gyrus, retrosplenial part, left, inferior bank of gyrus",112191357,94,89,138,-3.0,-47.0,20.0
4113,14,126434995,CX,"AnG-s","angular gyrus, left, superior bank of gyrus",112723775,108,63,159,-17.0,-68.0,46.0
4121,14,126435043,CX,"Pcu-i","precuneus, left, inferior lateral bank of gyrus",112718483,113,93,158,-22.0,-67.0,16.0
4208,14,126435139,CX,"IOG-i","inferior occipital gyrus, left, inferior bank of gyrus",112709133,153,120,161,-62.0,-70.0,-11.0
4200,15,126435109,CX,"OTG-s","occipito-temporal gyrus, left, superior bank of gyrus",112731493,106,125,171,-15.0,-80.0,-16.0
